Item_Identifier,Low_Fat,Regular,Dairy,Soft_Drinks,Meat,Fruits_Vegetables,Household,Baking,Snack,Fronzen_Foods,Breakfast,Health_Hygiene,Hard_Drinks,Canned,Breads,Starchy,Others,Seafood,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Visibility,Item_Weight,Item_Identifier_8,Item_Identifier_6,Item_Identifier_7,Item_Identifier_3,Item_Identifier_5,Item_Identifier_4,Item_Identifier_9,Item_Identifier_2,Item_Identifier_1,Outlet_Year,Outlet_Freq
FDA03,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.1102,OUT046,1997,1,1,2,2187.153,0.0515529634,18.5,0,1,0,0,0,0,0,0,0,5393,5393
FDX32,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,145.4786,OUT049,1999,2,1,2,1589.2646,0.11257343999999998,15.1,0,0,1,0,0,0,0,0,0,5423,5423
FDS46,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,119.6782,OUT046,1997,1,1,2,2145.2076,0.054460816200000005,17.6,0,0,0,0,1,0,0,0,0,5393,5393
FDF32,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,196.4426,OUT013,1987,3,3,2,1977.426,0.08339896233333333,16.35,0,0,0,0,1,0,0,0,0,5485,5485
FDP49,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,56.3614,OUT046,1997,1,1,2,1547.3192,0.07771102133333334,9.0,0,0,1,0,0,0,0,0,0,5393,5393
NCB42,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,115.3492,OUT018,2009,2,3,3,1621.8888,0.0085695865,11.8,0,1,0,0,0,0,0,0,0,5436,5436
FDP49,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,54.3614,OUT049,1999,2,1,2,718.3982,0.07771102133333334,9.0,0,0,1,0,0,0,0,0,0,5423,5423
DRI11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,113.2834,OUT027,1985,2,3,4,2303.668,0.04141927457142857,8.26,0,0,1,0,0,0,0,0,0,8702,5481
FDU02,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.5352,OUT035,2004,1,2,2,2748.4224,0.11362798071428572,13.35,0,0,1,0,0,0,0,0,0,5506,5506
FDN22,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,250.8724,OUT013,1987,3,3,2,3775.086,0.138683147,18.85,0,0,0,0,0,1,0,0,0,5485,5485
FDW12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,144.5444,OUT027,1985,2,3,4,4064.0432,0.03901434814285714,8.315,0,0,1,0,0,0,0,0,0,8702,5481
NCB30,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,196.5084,OUT035,2004,1,2,2,1587.2672,0.030928842142857144,14.6,0,0,1,0,0,0,0,0,0,5506,5506
FDC37,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,107.6938,OUT019,1985,1,1,1,214.3876,0.04110915266666667,15.5,0,0,0,1,0,0,0,0,0,8702,3221
FDR28,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,165.021,OUT046,1997,1,1,2,4078.025,0.0259539524,13.85,0,0,0,0,1,0,0,0,0,5393,5393
NCD06,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45.906,OUT017,2007,3,2,2,838.908,0.09953291880000001,13.0,0,0,0,0,1,0,0,0,0,5419,5419
FDV10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42.3112,OUT035,2004,1,2,2,1065.28,0.08352349599999999,7.645,0,0,0,0,1,0,0,0,0,5506,5506
DRJ59,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39.1164,OUT013,1987,3,3,2,308.9312,0.0219934952,11.65,0,1,0,0,0,0,0,0,0,5485,5485
FDE51,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.5086,OUT010,1998,1,3,1,178.4344,0.1160978602857143,5.925,0,0,1,0,0,0,0,0,0,3400,3400
FDC14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43.6454,OUT019,1985,1,1,1,125.8362,0.04965328971428572,14.5,1,0,0,0,0,0,0,0,0,8702,3221
FDV38,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.7956,OUT010,1998,1,3,1,163.7868,0.11796849266666667,19.25,0,0,0,0,0,0,1,0,0,3400,3400
NCS17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,96.4436,OUT018,2009,2,3,3,2741.7644,0.0805917654,18.6,0,0,0,0,1,0,0,0,0,5436,5436
FDP33,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,256.6672,OUT018,2009,2,3,3,3068.0064,0.1026783142,18.7,0,1,0,0,0,0,0,0,0,5436,5436
FDO23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,93.1436,OUT045,2002,2,2,2,2174.5028,0.1648463765,17.85,0,0,1,0,0,0,0,0,0,5471,5471
DRH01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.8738,OUT046,1997,1,1,2,2085.2856,0.1126623328,17.5,0,0,0,0,1,0,0,0,0,5393,5393
NCX29,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,146.7102,OUT049,1999,2,1,2,3791.0652,0.10512068025,10.0,1,0,0,0,0,0,0,0,0,5423,5423
FDV20,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,128.0678,OUT027,1985,2,3,4,2797.6916,0.07197039371428571,20.2,1,0,0,0,0,0,0,0,0,8702,5481
DRZ11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5388,OUT018,2009,2,3,3,1609.9044,0.11280836683333334,8.85,0,1,0,0,0,0,0,0,0,5436,5436
FDX10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36.9874,OUT027,1985,2,3,4,388.1614,0.1237984195,6.385000000000001,0,0,0,0,0,1,0,0,0,8702,5481
FDB34,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,87.6198,OUT027,1985,2,3,4,2180.495,0.029202658142857142,15.25,0,0,1,0,0,0,0,0,0,8702,5481
FDU02,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.6352,OUT046,1997,1,1,2,3435.528,0.11362798071428572,13.35,0,0,1,0,0,0,0,0,0,5393,5393
FDK43,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,126.002,OUT013,1987,3,3,2,2150.534,0.030255589166666666,9.8,0,1,0,0,0,0,0,0,0,5485,5485
FDA46,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,192.9136,OUT049,1999,2,1,2,2527.3768,0.11770163299999999,13.6,0,1,0,0,0,0,0,0,0,5423,5423
FDC02,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,259.9278,OUT018,2009,2,3,3,6768.5228,0.076530649,21.35,0,1,0,0,0,0,0,0,0,5436,5436
FDL50,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,126.5046,OUT013,1987,3,3,2,373.5138,0.04242364825,12.15,0,0,0,0,0,1,0,0,0,5485,5485
FDM39,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.1002,OUT010,1998,1,3,1,358.2004,0.060675818400000005,6.42,0,0,0,0,1,0,0,0,0,3400,3400
NCP05,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,153.3024,OUT045,2002,2,2,2,2428.8384,0.028135430666666666,19.6,1,0,0,0,0,0,0,0,0,5471,5471
FDV49,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,265.2226,OUT045,2002,2,2,2,5815.0972,0.025838496833333335,10.0,0,1,0,0,0,0,0,0,0,5471,5471
FDL12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60.622,OUT046,1997,1,1,2,2576.646,0.1397561692,15.85,0,0,0,0,1,0,0,0,0,5393,5393
FDS02,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.8794,OUT019,1985,1,1,1,780.3176,0.173512202,10.195,0,0,0,0,1,0,0,0,0,8702,3221
NCL17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,143.8812,OUT046,1997,1,1,2,3134.5864,0.067941382,7.39,0,0,0,0,0,1,0,0,0,5393,5393
FDM40,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,141.5154,OUT013,1987,3,3,2,850.8924,0.1598704005,10.195,0,0,0,1,0,0,0,0,0,5485,5485
FDR13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,117.0492,OUT013,1987,3,3,2,810.9444,0.028766748999999998,9.895,0,0,0,1,0,0,0,0,0,5485,5485
FDA43,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,196.3794,OUT017,2007,3,2,2,3121.2704,0.0734438434,10.895,0,0,0,0,1,0,0,0,0,5419,5419
NCP18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,151.4708,OUT017,2007,3,2,2,4815.0656,0.028632081857142857,12.15,0,0,1,0,0,0,0,0,0,5419,5419
FDK21,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,249.0408,OUT018,2009,2,3,3,6258.52,0.010985559142857143,7.905,0,0,1,0,0,0,0,0,0,5436,5436
NCX54,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,106.1622,OUT045,2002,2,2,2,2117.244,0.05271483,9.195,0,0,1,0,0,0,0,0,0,5471,5471
DRK35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38.0506,OUT049,1999,2,1,2,796.9626,0.084678938375,8.365,1,0,0,0,0,0,0,0,0,5423,5423
FDY21,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,194.511,OUT046,1997,1,1,2,4910.275,0.205924754,15.1,0,1,0,0,0,0,0,0,0,5393,5393
FDI26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,180.0344,OUT019,1985,1,1,1,892.172,0.038670216285714286,5.94,0,0,1,0,0,0,0,0,0,8702,3221
FDM20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,246.9144,OUT018,2009,2,3,3,3185.1872,0.03874801133333333,10.0,0,0,0,0,1,0,0,0,0,5436,5436
FDV27,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,87.3514,OUT045,2002,2,2,2,1062.6168,0.05010158066666667,7.97,0,0,0,1,0,0,0,0,0,5471,5471
FDF09,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38.2848,OUT027,1985,2,3,4,484.7024,0.012152534666666666,6.215,0,1,0,0,0,0,0,0,0,8702,5481
FDY40,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.0692,OUT019,1985,1,1,1,147.8076,0.10634331316666668,15.5,0,1,0,0,0,0,0,0,0,8702,3221
FDY45,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,255.8356,OUT027,1985,2,3,4,2543.356,0.0261863996,17.5,0,1,0,0,0,0,0,0,0,8702,5481
FDC46,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,185.4266,OUT010,1998,1,3,1,184.4266,0.12778287885714285,17.7,0,0,1,0,0,0,0,0,0,3400,3400
FDH19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,172.5738,OUT035,2004,1,2,2,4865.6664,0.036656057285714284,19.35,0,0,1,0,0,0,0,0,0,5506,5506
FDZ03,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.024,OUT045,2002,2,2,2,1118.544,0.09212875875,13.65,0,0,0,0,1,0,0,0,0,5471,5471
DRH37,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.8526,OUT045,2002,2,2,2,2302.3364,0.04688144216666667,17.6,0,1,0,0,0,0,0,0,0,5471,5471
NCI17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,95.841,OUT046,1997,1,1,2,2027.361,0.14356805683333332,8.645,0,1,0,0,0,0,0,0,0,5393,5393
FDJ58,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,170.1764,OUT046,1997,1,1,2,3435.528,0.124098424625,15.6,1,0,0,0,0,0,0,0,0,5393,5393
FDL12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59.222,OUT013,1987,3,3,2,599.22,0.1397561692,15.85,0,0,0,0,1,0,0,0,0,5485,5485
FDH35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,164.7526,OUT045,2002,2,2,2,4604.6728,0.068386192,18.25,0,1,0,0,0,0,0,0,0,5471,5471
FDG02,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,189.6188,OUT017,2007,3,2,2,2285.0256,0.0129633086,7.855,0,0,0,0,1,0,0,0,0,5419,5419
NCZ18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,254.3698,OUT049,1999,2,1,2,5580.7356,0.20958492166666667,7.825,0,0,1,0,0,0,0,0,0,5423,5423
FDC29,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,114.0176,OUT046,1997,1,1,2,2290.352,0.024224406,8.39,0,0,1,0,0,0,0,0,0,5393,5393
FDQ10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,172.3422,OUT049,1999,2,1,2,1207.0954,0.03674677314285714,12.85,0,0,1,0,0,0,0,0,0,5423,5423
FDN48,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,89.9804,OUT019,1985,1,1,1,643.1628,0.0747185518,13.35,0,0,0,0,1,0,0,0,0,8702,3221
FDL04,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104.9622,OUT017,2007,3,2,2,1587.933,0.11194855516666667,19.0,0,1,0,0,0,0,0,0,0,5419,5419
FDV25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,222.5456,OUT045,2002,2,2,2,5305.0944,0.054276717,5.905,0,0,0,0,1,0,0,0,0,5471,5471
FDD58,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,101.87,OUT046,1997,1,1,2,1697.79,0.06683014150000001,7.76,0,1,0,0,0,0,0,0,0,5393,5393
FDN04,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,180.3344,OUT046,1997,1,1,2,1427.4752,0.014101339666666666,11.800000000000002,0,0,1,0,0,0,0,0,0,5393,5393
FDV45,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,187.9556,OUT018,2009,2,3,3,4693.89,0.04989230771428571,16.75,0,0,1,0,0,0,0,0,0,5436,5436
NCL18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,194.6136,OUT019,1985,1,1,1,583.2408,0.18580586985714284,18.85,0,0,1,0,0,0,0,0,0,8702,3221
FDR12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,171.3764,OUT027,1985,2,3,4,3091.9752,0.0355131465,12.6,0,1,0,0,0,0,0,0,0,8702,5481
FDG20,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,177.0028,OUT017,2007,3,2,2,2479.4392,0.1429210632,15.5,0,0,0,0,1,0,0,0,0,5419,5419
FDZ55,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,160.992,OUT035,2004,1,2,2,2716.464,0.025437187166666667,6.055,0,1,0,0,0,0,0,0,0,5506,5506
FDQ49,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,155.963,OUT027,1985,2,3,4,3285.723,0.045141588999999996,20.2,0,0,0,0,1,0,0,0,0,8702,5481
FDN33,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,95.6436,OUT046,1997,1,1,2,661.8052,0.1229889555,6.305,0,0,0,0,0,1,0,0,0,5393,5393
FDN27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,117.2808,OUT049,1999,2,1,2,1523.3504,0.039516644999999996,20.85,0,0,0,0,0,1,0,0,0,5423,5423
FDW20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,122.173,OUT010,1998,1,3,1,369.519,0.028181967750000002,20.75,0,0,0,0,0,1,0,0,0,3400,3400
DRG27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9138,OUT049,1999,2,1,2,690.4346,0.12493597875000001,8.895,0,0,0,0,1,0,0,0,0,5423,5423
DRI25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.1614,OUT045,2002,2,2,2,1381.535,0.03718193671428571,19.6,0,0,1,0,0,0,0,0,0,5471,5471
FDA44,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,57.893,OUT035,2004,1,2,2,622.523,0.057754922,19.7,1,0,0,0,0,0,0,0,0,5506,5506
NCR17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,114.5492,OUT035,2004,1,2,2,1274.3412,0.02440727033333333,9.8,0,1,0,0,0,0,0,0,0,5506,5506
FDU04,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,120.0414,OUT019,1985,1,1,1,487.3656,0.006939681,7.93,0,0,0,0,1,0,0,0,0,8702,3221
FDF41,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,246.046,OUT049,1999,2,1,2,1231.73,0.13136499866666665,12.15,0,1,0,0,0,0,0,0,0,5423,5423
FDB56,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,187.4556,OUT035,2004,1,2,2,3755.112,0.07470972716666667,8.75,0,0,1,0,0,0,0,0,0,5506,5506
NCP18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,149.9708,OUT027,1985,2,3,4,4363.6532,0.028632081857142857,12.15,0,0,1,0,0,0,0,0,0,8702,5481
FDB56,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,187.8556,OUT046,1997,1,1,2,1314.2892,0.07470972716666667,8.75,0,0,1,0,0,0,0,0,0,5393,5393
FDT28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,151.0708,OUT045,2002,2,2,2,1805.6496,0.06365323333333334,13.300000000000002,0,1,0,0,0,0,0,0,0,5471,5471
FDD10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,178.5344,OUT027,1985,2,3,4,2854.9504,0.051235430666666665,20.6,0,0,1,0,0,0,0,0,0,8702,5481
FDW57,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,179.1028,OUT049,1999,2,1,2,3896.2616,0.11606237125,8.31,0,0,0,0,1,0,0,0,0,5423,5423
DRB48,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7822,OUT013,1987,3,3,2,667.7974,0.027650095,16.75,0,0,1,0,0,0,0,0,0,5485,5485
FDP09,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,212.0902,OUT018,2009,2,3,3,3185.853,0.038983281800000005,19.75,0,0,0,0,1,0,0,0,0,5436,5436
FDH14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,141.1838,OUT013,1987,3,3,2,2247.7408,0.05639142028571429,17.1,0,0,1,0,0,0,0,0,0,5485,5485
FDA47,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,163.121,OUT013,1987,3,3,2,1794.331,0.1167684238,10.5,0,1,0,0,0,0,0,0,0,5485,5485
FDG12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,121.3098,OUT045,2002,2,2,2,2530.7058,0.0063362950000000005,6.635,0,1,0,0,0,0,0,0,0,5471,5471
DRE60,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.372,OUT019,1985,1,1,1,679.116,0.17949263000000001,9.395,0,1,0,0,0,0,0,0,0,8702,3221
DRK49,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.4138,OUT013,1987,3,3,2,812.276,0.03595178783333333,14.15,0,0,1,0,0,0,0,0,0,5485,5485
FDD03,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.53,OUT046,1997,1,1,2,699.09,0.0799452682,13.3,0,0,0,0,1,0,0,0,0,5393,5393
FDS52,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,102.4016,OUT017,2007,3,2,2,2732.4432,0.0064540375,8.89,1,0,0,0,0,0,0,0,0,5419,5419
FDW39,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,176.937,OUT019,1985,1,1,1,176.437,0.042446314400000004,6.69,0,1,0,0,0,0,0,0,0,8702,3221
FDX34,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,121.7098,OUT027,1985,2,3,4,4097.3332,0.07201702033333333,6.195,0,1,0,0,0,0,0,0,0,8702,5481
FDV11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,173.2054,OUT045,2002,2,2,2,3151.8972,0.10004742100000001,9.1,0,0,0,0,0,1,0,0,0,5471,5471
FDD17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,239.0906,OUT049,1999,2,1,2,5942.265,0.036336647166666666,7.5,0,0,1,0,0,0,0,0,0,5423,5423
FDZ16,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,192.4478,OUT017,2007,3,2,2,4843.695,0.19780718016666668,16.85,0,1,0,0,0,0,0,0,0,5419,5419
FDZ46,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,109.0228,OUT035,2004,1,2,2,2542.0244,0.069315463,7.485,0,0,0,0,0,1,0,0,0,5506,5506
DRA12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.3154,OUT017,2007,3,2,2,2552.6772,0.0479342655,11.6,0,1,0,0,0,0,0,0,0,5419,5419
FDY58,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,227.0694,OUT018,2009,2,3,3,1141.847,0.040068738,11.65,0,0,0,1,0,0,0,0,0,5436,5436
NCF19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47.5034,OUT017,2007,3,2,2,680.4476,0.0404096326,13.0,0,0,0,0,1,0,0,0,0,5419,5419
DRJ13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.0578,OUT045,2002,2,2,2,2085.9514,0.07006537183333333,12.65,0,1,0,0,0,0,0,0,0,5471,5471
FDB14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,92.512,OUT010,1998,1,3,1,186.424,0.11427804800000001,20.25,0,0,1,0,0,0,0,0,0,3400,3400
FDJ38,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,190.153,OUT035,2004,1,2,2,3036.048,0.0402743095,8.6,0,1,0,0,0,0,0,0,0,5506,5506
FDW11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,62.7194,OUT017,2007,3,2,2,866.8716,0.0488368158,12.6,0,0,0,0,1,0,0,0,0,5419,5419
FDL40,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,95.041,OUT035,2004,1,2,2,868.869,0.012917764,17.7,0,0,1,0,0,0,0,0,0,5506,5506
DRI49,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.4276,OUT046,1997,1,1,2,1137.1864,0.18377854225,14.15,0,0,0,0,0,1,0,0,0,5393,5393
FDV38,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.7956,OUT017,2007,3,2,2,928.1252,0.11796849266666667,19.25,0,0,0,0,0,0,1,0,0,5419,5419
DRG23,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,151.7682,OUT013,1987,3,3,2,762.341,0.08674821216666667,8.88,0,0,1,0,0,0,0,0,0,5485,5485
NCP30,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40.2822,OUT045,2002,2,2,2,707.0796,0.03278712533333333,20.5,0,1,0,0,0,0,0,0,0,5471,5471
FDY25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,180.5976,OUT027,1985,2,3,4,7968.2944,0.0340019908,12.0,0,0,0,0,1,0,0,0,0,8702,5481
NCH54,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,160.292,OUT046,1997,1,1,2,1438.128,0.0899123865,13.5,0,1,0,0,0,0,0,0,0,5393,5393
